year,code,description,value
2000,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude","₦ 2,834,335,845,094.00"
2000,2711110000,"Natural gas, liquefied","₦ 7,693,053,450.00"
2000,1207100000,Palm nuts and kernels,"₦ 1,808,628,768.00"
2000,8905900000,"Other Light vessels, fire-floats, floating cranes, etc, nes","₦ 1,603,767,552.00"
2000,1207400000,"Sesamum seeds, whether or not broken","₦ 1,018,552,453.00"
2000,5516940000,Other printed woven fabrics of artificial staple fibres,"₦ 687,310,572.00"
2000,8430500000,"Other machinery not specified, selfpropelled","₦ 418,712,416.00"
2000,6811100000,ECOWAS LIGHT SUPER 7++ CORRUGATED ROOFING SHEETS (GREY),"₦ 355,325,904.00"
2000,7308100000,"I\steel structures & parts thereof;plates,roods.. therefor","₦ 228,540,933.00"
2000,1801000000,GOOD FERMENTED NIGERIAN COCOA BEANS - MAIN CROP 2015/2016,"₦ 204,254,014.00"
2001,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude","₦ 1,972,211,510,095.00"
2001,2711110000,"Natural gas, liquefied","₦ 27,789,342,060.00"
2001,5516940000,Other printed woven fabrics of artificial staple fibres,"₦ 3,109,766,819.00"
2001,8905900000,"Other Light vessels, fire-floats, floating cranes, etc, nes","₦ 1,215,728,042.00"
2001,3306100000,Dentifrices,"₦ 341,100,477.00"
2001,4011100000,"New pneumatic tyres,of rubber of kind used on motor cars(incl.station wagons & racing ca","₦ 232,204,835.00"
2001,2710000000,"Petroleum oils, etc, (excl. crude); preparations thereof, nes","₦ 231,325,668.00"
2001,8901900000,Vessels for the transport of goods & both persons and goods,"₦ 209,171,393.00"
2001,4106200000,"Goat or kid skin leather, prepared after tanning","₦ 169,026,179.00"
2001,2601110000,Non-agglomerated iron ores and concentrates,"₦ 149,981,620.00"
2002,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude","₦ 1,925,613,449,787.00"
2002,2711110000,"Natural gas, liquefied","₦ 74,851,973,473.00"
2002,8905100000,Dredgers,"₦ 59,501,925,858.00"
2002,2713900000,Other residues of petroleum oils or of oils obtained from bituminous minerals,"₦ 28,030,669,980.00"
2002,5402330000,Textured yarn of polyesters,"₦ 15,928,902,793.00"
2002,9405400000,"Other electric lamps and lighting fittings, nes","₦ 15,358,248,000.00"
2002,1905300000,Sweet biscuits; waffles and wafers,"₦ 13,178,117,063.00"
2002,8905900000,"Other Light vessels, fire-floats, floating cranes, etc, nes","₦ 8,359,209,780.00"
2002,0504000000,"Guts/Bladders/Stomachs of animals  (excl.Fish)whole & pieces  Fresh,Frozen,Salted,dried","₦ 6,197,138,149.00"
2002,2711120000,"Propane, liquefied","₦ 3,270,720,107.00"
2003,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude","₦ 2,947,548,548,245.00"
